"transportation_type","date","direction_requests","consumption","sales_MM_dollars"
"driving",2020-01-01,107.362105263158,"auto_parts_tires_sales",7525
"driving",2020-01-01,107.362105263158,"alcoholic_beverage_sales",4178
"driving",2020-01-01,107.362105263158,"electronics_sales",5823
"driving",2020-01-01,107.362105263158,"grocery_sales",58230
"driving",2020-01-01,107.362105263158,"toy_store_sales",1160
"driving",2020-01-01,107.362105263158,"restaurant_spend",54773
"driving",2020-01-01,107.362105263158,"sporting_good_sales",2946
"driving",2020-02-01,116.07918022121,"auto_parts_tires_sales",7229
"driving",2020-02-01,116.07918022121,"alcoholic_beverage_sales",4301
"driving",2020-02-01,116.07918022121,"electronics_sales",5419
"driving",2020-02-01,116.07918022121,"grocery_sales",55239
"driving",2020-02-01,116.07918022121,"toy_store_sales",1185
"driving",2020-02-01,116.07918022121,"restaurant_spend",55733
"driving",2020-02-01,116.07918022121,"sporting_good_sales",3054
"driving",2020-03-01,89.0404077906269,"auto_parts_tires_sales",7470
"driving",2020-03-01,89.0404077906269,"alcoholic_beverage_sales",5224
"driving",2020-03-01,89.0404077906269,"electronics_sales",4495
"driving",2020-03-01,89.0404077906269,"grocery_sales",73003
"driving",2020-03-01,89.0404077906269,"toy_store_sales",850
"driving",2020-03-01,89.0404077906269,"restaurant_spend",42948
"driving",2020-03-01,89.0404077906269,"sporting_good_sales",3399
"driving",2020-04-01,66.6040188679245,"auto_parts_tires_sales",6966
"driving",2020-04-01,66.6040188679245,"alcoholic_beverage_sales",4905
"driving",2020-04-01,66.6040188679245,"electronics_sales",1888
"driving",2020-04-01,66.6040188679245,"grocery_sales",63454
"driving",2020-04-01,66.6040188679245,"toy_store_sales",354
"driving",2020-04-01,66.6040188679245,"restaurant_spend",28161
"driving",2020-04-01,66.6040188679245,"sporting_good_sales",2565
"driving",2020-05-01,107.612927781392,"auto_parts_tires_sales",8492
"driving",2020-05-01,107.612927781392,"alcoholic_beverage_sales",5909
"driving",2020-05-01,107.612927781392,"electronics_sales",2480
"driving",2020-05-01,107.612927781392,"grocery_sales",67331
"driving",2020-05-01,107.612927781392,"toy_store_sales",1100
"driving",2020-05-01,107.612927781392,"restaurant_spend",40687
"driving",2020-05-01,107.612927781392,"sporting_good_sales",4307
"driving",2020-06-01,146.322761006289,"auto_parts_tires_sales",9263
"driving",2020-06-01,146.322761006289,"alcoholic_beverage_sales",5734
"driving",2020-06-01,146.322761006289,"electronics_sales",3912
"driving",2020-06-01,146.322761006289,"grocery_sales",62806
"driving",2020-06-01,146.322761006289,"toy_store_sales",1395
"driving",2020-06-01,146.322761006289,"restaurant_spend",49679
"driving",2020-06-01,146.322761006289,"sporting_good_sales",5779
"driving",2020-07-01,164.687090687766,"auto_parts_tires_sales",9122
"driving",2020-07-01,164.687090687766,"alcoholic_beverage_sales",6055
"driving",2020-07-01,164.687090687766,"electronics_sales",4761
"driving",2020-07-01,164.687090687766,"grocery_sales",65575
"driving",2020-07-01,164.687090687766,"toy_store_sales",1383
"driving",2020-07-01,164.687090687766,"restaurant_spend",52664
"driving",2020-07-01,164.687090687766,"sporting_good_sales",5335
"driving",2020-08-01,164.997863664029,"auto_parts_tires_sales",8940
"driving",2020-08-01,164.997863664029,"alcoholic_beverage_sales",5759
"driving",2020-08-01,164.997863664029,"electronics_sales",5035
"driving",2020-08-01,164.997863664029,"grocery_sales",63141
"driving",2020-08-01,164.997863664029,"toy_store_sales",1479
"driving",2020-08-01,164.997863664029,"restaurant_spend",54107
"driving",2020-08-01,164.997863664029,"sporting_good_sales",5047
"driving",2020-09-01,152.682440251572,"auto_parts_tires_sales",8572
"driving",2020-09-01,152.682440251572,"alcoholic_beverage_sales",5527
"driving",2020-09-01,152.682440251572,"electronics_sales",4737
"driving",2020-09-01,152.682440251572,"grocery_sales",60565
"driving",2020-09-01,152.682440251572,"toy_store_sales",1551
"driving",2020-09-01,152.682440251572,"restaurant_spend",52069
"driving",2020-09-01,152.682440251572,"sporting_good_sales",4699
"driving",2020-10-01,139.274059646987,"auto_parts_tires_sales",8688
"driving",2020-10-01,139.274059646987,"alcoholic_beverage_sales",5704
"driving",2020-10-01,139.274059646987,"electronics_sales",5082
"driving",2020-10-01,139.274059646987,"grocery_sales",62506
"driving",2020-10-01,139.274059646987,"toy_store_sales",1641
"driving",2020-10-01,139.274059646987,"restaurant_spend",54596
"driving",2020-10-01,139.274059646987,"sporting_good_sales",4581
"driving",2020-11-01,110.81513836478,"auto_parts_tires_sales",7877
"driving",2020-11-01,110.81513836478,"alcoholic_beverage_sales",5732
"driving",2020-11-01,110.81513836478,"electronics_sales",6514
"driving",2020-11-01,110.81513836478,"grocery_sales",62454
"driving",2020-11-01,110.81513836478,"toy_store_sales",2365
"driving",2020-11-01,110.81513836478,"restaurant_spend",48612
"driving",2020-11-01,110.81513836478,"sporting_good_sales",4527
"driving",2020-12-01,109.494960438223,"auto_parts_tires_sales",7839
"driving",2020-12-01,109.494960438223,"alcoholic_beverage_sales",7282
"driving",2020-12-01,109.494960438223,"electronics_sales",7630
"driving",2020-12-01,109.494960438223,"grocery_sales",65444
"driving",2020-12-01,109.494960438223,"toy_store_sales",2564
"driving",2020-12-01,109.494960438223,"restaurant_spend",49609
"driving",2020-12-01,109.494960438223,"sporting_good_sales",6661
"driving",2021-01-01,108.032105903834,"auto_parts_tires_sales",7686
"driving",2021-01-01,108.032105903834,"alcoholic_beverage_sales",5031
"driving",2021-01-01,108.032105903834,"electronics_sales",5237
"driving",2021-01-01,108.032105903834,"grocery_sales",63171
"driving",2021-01-01,108.032105903834,"toy_store_sales",1613
"driving",2021-01-01,108.032105903834,"restaurant_spend",50741
"driving",2021-01-01,108.032105903834,"sporting_good_sales",4060
"driving",2021-02-01,111.135761455526,"auto_parts_tires_sales",7489
"driving",2021-02-01,111.135761455526,"alcoholic_beverage_sales",4910
"driving",2021-02-01,111.135761455526,"electronics_sales",4651
"driving",2021-02-01,111.135761455526,"grocery_sales",57543
"driving",2021-02-01,111.135761455526,"toy_store_sales",1416
"driving",2021-02-01,111.135761455526,"restaurant_spend",48074
"driving",2021-02-01,111.135761455526,"sporting_good_sales",3754
"driving",2021-03-01,133.148194968553,"auto_parts_tires_sales",10168
"driving",2021-03-01,133.148194968553,"alcoholic_beverage_sales",5658
"driving",2021-03-01,133.148194968553,"electronics_sales",5945
"driving",2021-03-01,133.148194968553,"grocery_sales",63134
"driving",2021-03-01,133.148194968553,"toy_store_sales",1941
"driving",2021-03-01,133.148194968553,"restaurant_spend",62126
"driving",2021-03-01,133.148194968553,"sporting_good_sales",6035
"driving",2021-04-01,144.707528301887,"auto_parts_tires_sales",9838
"driving",2021-04-01,144.707528301887,"alcoholic_beverage_sales",5645
"driving",2021-04-01,144.707528301887,"electronics_sales",5517
"driving",2021-04-01,144.707528301887,"grocery_sales",62163
"driving",2021-04-01,144.707528301887,"toy_store_sales",1742
"driving",2021-04-01,144.707528301887,"restaurant_spend",64024
"driving",2021-04-01,144.707528301887,"sporting_good_sales",5760
"driving",2021-05-01,158.731807668898,"auto_parts_tires_sales",9420
"driving",2021-05-01,158.731807668898,"alcoholic_beverage_sales",6016
"driving",2021-05-01,158.731807668898,"electronics_sales",5747
"driving",2021-05-01,158.731807668898,"grocery_sales",66336
"driving",2021-05-01,158.731807668898,"toy_store_sales",1733
"driving",2021-05-01,158.731807668898,"restaurant_spend",69154
"driving",2021-05-01,158.731807668898,"sporting_good_sales",5586
"driving",2021-06-01,182.484182389937,"auto_parts_tires_sales",9673
"driving",2021-06-01,182.484182389937,"alcoholic_beverage_sales",5986
"driving",2021-06-01,182.484182389937,"electronics_sales",6002
"driving",2021-06-01,182.484182389937,"grocery_sales",64865
"driving",2021-06-01,182.484182389937,"toy_store_sales",1699
"driving",2021-06-01,182.484182389937,"restaurant_spend",69163
"driving",2021-06-01,182.484182389937,"sporting_good_sales",5912
"driving",2021-07-01,190.80804017042,"auto_parts_tires_sales",9704
